레시피명,전처리된 식재료
토마토오리볶음,고기 양파 가지 브로콜리 물엿 방울토마토 토마토 파프리카 마늘 식용유 고추장 부추 오리고기
토마토두루치기,설탕 표고버섯 생강 식용유 양배추 파프리카 간장 소금 양파 토마토 대파 피망 돼지고기 물엿 마늘 비트 고추장
검은콩피시볼조림,쪽파 계란 동태 물 달걀 생선 대파 마늘 밀가루 청양고추 간장
대하조림,아보카도 닭다리 시금치 물 토마토 닭 월계수 대하
묵은지가지말이,고기 피망 양파 돼지고기 가지 김치 물 레몬 생강 월계수 마늘
함초타락죽,찹쌀 우유 양파 파 치즈
황태두부무국,쪽파 후추 고추 두부 황태
삼합잡채,통깨 소고기 양파 당근 식용유 닭 바지락 참기름 고추 마늘 주꾸미 미나리 간장
고등어카레탕수,우유 카레 양파 전분 방울토마토 사과 감자 식용유 고등어
효도강정,설탕 식용유 견과 현미 율무
비트양파김치,식초 소금 양파 물 생강 비트 청양고추
관자브로콜리스프,우유 양파 시금치 브로콜리 파 후추 버터 마늘
곤약잡채,당근 고추 식용유 부추 팽이버섯 오이 참기름 간장 양파 달걀 대파 통깨 후추 마늘
미역 닭가슴살전,식초 미역 당근 닭 계란 대파 두부 청양고추 고추냉이 간장
두가지묵샐러드,배추 양파 가지 파프리카 고추 대파 묵 간장
블루베리양갱,한천 앙금 설탕 물 블루베리
장어찜,우유 샐러드 양파 후추 인삼 고추 우엉 장어 미나리 팽이버섯 간장
두부까나페,소금 샐러드 로즈마리 양파 마요네즈 당근 후추 오이 마늘 햄 두부 간장
두부청국장죽,소금 후추 당근 표고버섯 버섯 청국장 밥 참기름 마늘 대파 두부 쇠고기 간장
망고샐러드,식초 소금 피망 양파 후추 방울토마토 파프리카 망고 증편
토마토젤리,젤라틴 설탕 토마토 레몬 블루베리
샌드스테이크,카레 우유 소금 양파 시금치 베이컨 닭 버터 대파 느타리버섯
맥적구이,설탕 마요네즈 표고버섯 생강 된장 가지 참기름 땅콩 간장 소금 양파 대파 통깨 돼지고기 피망 마늘 정종
채소어묵,생선 소금 양파 옥수수 치즈 당근 식용유 생강 튀김 마늘 밀가루
주꾸미보리죽,미나리 우유 양파 치즈 당근 보리 참기름 밀가루 주꾸미 간장
오렌지삼겹찜,오렌지 고구마 설탕 식용유 정종 삼겹살
소고기볼게살타르,게맛살 소금 소고기 양파 고구마 마요네즈 바나나 파프리카 버터 식용유 빵가루 마늘
수삼떡갈비,통깨 양파 설탕 마늘 정종 대파 수삼 간장 대추
삼색딤섬,두부 소고기 양파 오징어 참기름 뽕잎 마늘 숙주 대파 밀가루 부추 미나리
밥크로켓,소금 양파 당근 식용유 튀김 밥 마늘 식용유 달걀 대파 빵가루 밀가루 메추리알
가지토마토구이,소금 가지 치즈 팽이버섯 토마토
함박스테이크,설탕 고추 빵가루 메추리알 소고기 와인 간장 소금 양파 토마토 달걀 대파 돼지고기 깻잎 마늘
냉파스타,식초 소고기 양파 설탕 스파게티면 파프리카 깻잎 마늘 간장
과일겉절이,식초 바나나 설탕 배 사과 키위 파인애플 마늘 식용유 고춧가루 간장
버섯탕수,녹말 식초 소금 양파 설탕 당근 물 식용유 표고버섯 튀김 키위 오이 달걀 간장 느타리버섯
아보카도 연어샐러드,아보카도 오렌지 훈제 양파 파프리카 연어
오렌지마리네이드 돼지고기,오렌지 우유 소금 돼지고기 시금치 후추 레몬 머스터드 파프리카 마늘
인삼갈비탕,간장 소고기 갈비 양파 파 설탕 대추 인삼 당면 표고버섯 달걀 마늘
체리젤리를 곁들인 고구마무스,젤라틴 호두 사과 민트 고구마 체리 건포도 산딸기 아몬드
카레닭 룰라이드,카레 소금 양파 당근 토마토 감자 닭고기
세 가지곡물콩라미수,우유 사과 민트 통조림 바나나 설탕 콩 버터 달걀 미숫가루
크림치즈 망고무스,젤라틴 사과 민트 설탕 레몬 크림 산딸기
토마토주스를곁들인컵토마토,양파 설탕 토마토 오이
해산물 훈제연어롤,훈제 소금 식초 양파 설탕 당근 파프리카 오이 소라 연어 고추장 주꾸미
인절미 무스와 수정과 아이스크림,젤라틴 호두 홍시 계피 생강 곶감
감닭떡갈비,소금 양파 매실 감자 달걀 닭고기 마늘 식용유
겨자아욱쌈밥,새싹 두부 아욱 매실 참기름 된장 날치 현미
다마고도후,다시마 달걀 날치 간장
단호박생채,다시마 새우 양파 배 마늘 까나리 부추 고춧가루
닭가슴살 스테이크,소금 가지 치즈 토마토 닭고기 마늘
마늘드레싱을 곁들인 키위샐러드,식초 샐러드 설탕 방울토마토 사과 물 키위 드레싱 마늘 아몬드 땅콩
깻잎향을 입힌 관자 샐러드,레시틴 깻잎 석류
건강그린 샐러드와 고소한 두유드레싱,식초 샐러드 마요네즈 설탕 방울토마토 물 두유 물엿 파프리카 드레싱
케일 오미자 샐러드,식초 샐러드 오미자 물 드레싱 케일
꼬막 달래 된장 무침,참기름 깻잎 파프리카 된장 마늘 고추장 꼬막
베이컨 가지 말이,식초 양파 가지 베이컨 배 사과 파프리카 마늘 고추장 고춧가루 미나리
청국장소스 연어 스테이크,마요네즈 대추 청국장 연어 식용유
두부곤약조림,간장 가지 고추기름 물 고추 마늘 꽈리고추 두부
아귀나가사키조림,녹말 꽃게 새우 문어 조개 양파 물 고추 소라 마늘 숙주 대파 전복 청양고추 아귀 미나리
카레가자미조림,강황 카레 양파 고구마 당근 토마토 브로콜리 가자미 파프리카 달걀 마늘 밀가루 청양고추
타콤소스닭조림,가지 양파 당근 토마토 사과 셀러리 닭 생강 브로콜리 마늘 파슬리 월계수
토마토콩조림,양파 설탕 대두 토마토 콩 파슬리
관자해장국,식초 다시마 두부 양파 당근 물 토마토 파프리카 고추 콩나물 마늘 고춧가루
견과류들깨해장탕,호두 다시마 양파 들기름 표고버섯 밤 두부 멸치 느타리버섯
뿌리채소들깨수제비,간장 다시마 소금 미역 물 연근 들기름 감자 마늘
대구지리탕,미나리 다시마 북어 물 생강 콩나물 고추 쑥 마늘 쑥갓 밀가루 청양고추 대구
양지해장국,간장 소금 방울토마토 콩나물 마늘 대파 청양고추 쇠고기 느타리버섯
토마토돼지고기해장국,다시마 돼지고기 양파 설탕 토마토 방울토마토 표고버섯 물 마늘 사태 대파 청양고추
효종갱,간장 배추 갈비 양파 양지 물 표고버섯 마늘 전복 쇠고기 느타리버섯
